iter	Passed	Remaining
0	18	18081
1	31	15782
2	42	13999
3	52	13144
4	65	12986
5	75	12487
6	88	12553
7	100	12418
8	112	12437
9	124	12279
10	134	12085
11	146	12061
12	157	11937
13	167	11797
14	179	11800
15	192	11857
16	209	12106
17	221	12093
18	231	11974
19	244	12003
20	256	11935
21	266	11863
22	278	11822
23	289	11760
24	299	11693
25	309	11602
26	319	11531
27	330	11483
28	344	11520
29	354	11477
30	365	11431
31	378	11438
32	388	11388
33	399	11337
34	414	11422
35	434	11640
36	445	11604
37	458	11605
38	467	11525
39	477	11463
40	487	11407
41	501	11429
42	516	11494
43	530	11519
44	543	11526
45	553	11481
46	564	11447
47	576	11438
48	589	11431
49	600	11406
50	610	11369
51	623	11366
52	638	11403
53	650	11390
54	660	11346
55	671	11319
56	680	11262
57	693	11260
58	704	11234
59	718	11249
60	727	11205
61	739	11188
62	750	11164
63	761	11131
64	773	11127
65	783	11090
66	794	11059
67	806	11055
68	816	11017
69	833	11076
70	850	11123
71	859	11081
72	871	11072
73	882	11045
74	893	11015
75	906	11019
76	915	10978
77	927	10961
78	937	10934
79	948	10906
80	958	10877
81	975	10922
82	990	10945
83	1003	10946
84	1014	10924
85	1026	10904
86	1039	10908
87	1050	10888
88	1072	10982
89	1082	10942
90	1095	10941
91	1105	10913
92	1115	10881
93	1125	10849
94	1137	10832
95	1146	10794
96	1156	10766
97	1170	10772
98	1180	10741
99	1191	10724
100	1203	10709
101	1213	10683
102	1223	10658
103	1235	10645
104	1248	10638
105	1263	10656
106	1275	10642
107	1285	10618
108	1295	10589
109	1305	10560
110	1317	10554
111	1328	10530
112	1339	10514
113	1352	10511
114	1365	10507
115	1375	10479
116	1386	10465
117	1399	10462
118	1410	10443
119	1422	10429
120	1434	10418
121	1443	10391
122	1460	10415
123	1487	10509
124	1506	10543
125	1522	10563
126	1535	10557
127	1550	10566
128	1564	10566
129	1576	10549
130	1589	10544
131	1602	10535
132	1618	10550
133	1631	10545
134	1642	10522
135	1654	10509
136	1668	10510
137	1683	10517
138	1702	10546
139	1717	10547
140	1731	10546
141	1741	10524
142	1753	10509
143	1765	10493
144	1776	10474
145	1790	10470
146	1804	10468
147	1815	10451
148	1830	10455
149	1840	10427
150	1852	10413
